RK,CODE,CODE2,POS,POS RK,TIER,PLAYER,TEAM,PPL,SALARY,TAG,BYE,2022 PROJ,2021 TTL,2021 AVG,2021 TKL,2021 AST,2021 SACK,BEST,WORST,AVG
109,IDP109,LB66,LB,66,7,Willie Gay Jr.,KC,,,,,78.77,76,6.3,26,22,0.5,63,85,112
110,IDP110,LB61,LB,61,7,Mykal Walker,ATL,,,,,56.12,52.5,3.5,14,14,0,66,86,113
111,IDP111,DT4,DT,4,6,Jeffery Simmons,TEN,,,,,77.48,145,8.5,42,12,8.5,3,44,114
112,IDP112,S29,S,29,6,Jevon Holland,MIA,,,,,82.41,132.75,8.8,47,21,2.5,28,45,114
113,IDP113,DE17,DE,17,6,Greg Rousseau,BUF,,,,,66.02,120,7.5,42,8,4,20,56,115
114,IDP114,LB60,LB,60,7,Christian Harris,HOU,ROOKIE,,,,64.6,0,0,0,0,0,64,93,115
115,IDP115,DT3,DT,3,6,Chris Jones,KC,,,,,72.67,105.25,7.5,18,9,9,5,88,116
116,IDP116,DE21,DE,21,6,J.J. Watt,ARI,,,,,62.06,43,6.1,10,6,1,24,88,116
117,IDP117,LB42,LB,42,5,Anthony Walker Jr.,CLE,,,,,127.39,148.5,11.4,69,44,1,44,71,117
118,IDP118,DE9,DE,9,5,Leonard Williams,NYG,,,,,83.15,139.75,8.2,34,47,6.5,13,45,117
119,IDP119,DT7,DT,7,6,Quinnen Williams,NYJ,,,,,68.13,112.75,7.5,36,17,6,7,90,118
120,IDP120,LB67,LB,67,7,Quay Walker,GB,ROOKIE,,,,82.01,0,0,0,0,0,61,84,119
121,IDP121,LB59,LB,59,6,Kamu Grugier-Hill,HOU,,,,,104.82,194,13.9,70,36,3,59,81,120
122,IDP122,CB3,CB,3,5,Marlon Humphrey,BAL,,,,,91.09,105,8.8,44,14,0,3,62,121
123,IDP123,S35,S,35,7,Jaquan Brisker,CHI,ROOKIE,,,,35.02,0,0,0,0,0,33,64,122
124,IDP124,CB6,CB,6,7,Julian Love,NYG,,,,,81.63,90,5.6,32,24,0.5,6,72,123
125,IDP125,S32,S,32,6,Nasir Adderley,LAC,,,,,98.5,146.5,9.8,67,30,0.5,35,96,124
126,IDP126,DE24,DE,24,7,Kwity Paye,IND,,,,,57.29,73,5.2,16,16,4,25,98,125
127,IDP127,LB57,LB,57,6,Azeez Al-Shaair,SF,,,,,97.11,175,13.5,58,44,2,52,90,126
128,IDP128,DE14,DE,14,6,Haason Reddick,PHI,SHAFT,$4,X,,93.41,160.75,10,37,31,11,15,56,127
129,IDP129,CB4,CB,4,6,Trevon Diggs,DAL,HOMIES,$1,X,,84.01,169.75,10.6,43,9,0,4,46,129
130,IDP130,DE23,DE,23,7,Jaelan Phillips,MIA,,,,,67.02,110.75,6.5,23,19,8.5,21,33,130
131,IDP131,LB48,LB,48,6,Alex Singleton,DEN,DYNASTY,$1,X,,126.87,185.5,11.6,76,54,0,57,83,131
132,IDP132,S37,S,37,7,John Johnson III,CLE,,,,,85.86,102.25,6.8,36,23,0.5,36,93,132
133,IDP133,LB52,LB,52,6,Chandler Jones,LV,HABANEROS,$5,X,,109.13,160,10.7,31,10,10.5,46,20,133
134,IDP134,LB58,LB,58,6,Za'Darius Smith,MIN,,,,,97.54,1.5,0.4,1,0,0,56,80,134
135,IDP135,S31,S,31,6,Justin Reid,KC,,,,,94.67,102.25,7.9,39,25,0,34,76,135
136,IDP136,LB64,LB,64,7,Khalil Mack,LAC,BROTHERHOOD,$7,C,,90.17,68.5,9.8,15,4,6,51,68,136
137,IDP137,DE28,DE,28,8,Brandon Graham,PHI,,,,,68.7,5.5,2.8,2,0,0,26,120,137
138,IDP138,S38,S,38,7,Micah Hyde,BUF,,,,,87.88,167.25,9.8,53,21,1,37,94,138
139,IDP139,LB62,LB,62,7,Alex Anzalone,DET,,,,,90.47,117.25,9,49,29,1,68,98,139
140,IDP140,CB5,CB,5,6,A.J. Terrell,ATL,,,,,99.5,154.25,9.6,52,29,1,7,87,141
141,IDP141,LB56,LB,56,6,Jayon Brown,LV,MACHINE,$1,X,,98.34,75.5,7.5,35,20,0,53,48,142
142,IDP142,LB70,LB,70,7,Nakobe Dean,PHI,ROOKIE,,,,69.01,0,0,0,0,0,62,58,143
143,IDP143,CB7,CB,7,7,J.C. Jackson,LAC,,,,,72.27,166,9.8,44,14,0,8,91,144
144,IDP144,DE26,DE,26,7,Kayvon Thibodeaux,NYG,ROOKIE,,,,74.53,0,0,0,0,0,23,44,145
145,IDP145,LB72,LB,72,8,Cory Littleton,CAR,INVINCIBLES,$1,X,,93.78,125.75,8.4,50,45,0.5,67,96,149
146,IDP146,LB22,LB,22,3,Shaq Green-Thompson,CAR,DYNASTY,$5,PP,,120.38,174.75,,65,39,2,,,
147,IDP147,LB55,LB,55,6,Harold Landry III,TEN,,,,,97.65,180.75,,50,25,12,,,
148,IDP148,S36,S,36,7,Adrian Phillips,NE,,,,,83.29,,,,,,,,
149,IDP149,DE25,DE,25,7,Charles Harris,DET,,,,,78.97,137.25,,34,31,7.5,,,
150,IDP150,S39,S,39,7,Terrell Edmunds,PIT,,,,,71.34,,,,,,,,
151,IDP151,LB68,LB,68,7,Ernest Jones,LAR,,,,,67.47,,,,,,,,
152,IDP152,LB69,LB,69,7,Neville Hewitt,HOU,,,,,78.16,,,,,,,,
153,IDP153,LB71,LB,71,7,Germaine Pratt,CIN,,,,,103.76,,,,,,,,
154,IDP154,DE27,DE,27,8,Arik Armstead,SF,,,,,74.03,,,,,,,,
155,IDP155,DT8,DT,8,8,Kenny Clark,GB,,,,,72.36,,,,,,,,
156,IDP156,CB9,CB,9,8,Xavien Howard,MIA,,,,,79.81,,,,,,,,
157,IDP157,LB73,LB,73,9,Azeez Ojulari,NYG,,,,,77.53,,,,,,,,
158,IDP158,DE29,DE,29,9,Travon Walker,JAC,ROOKIE,,,,69.91,,,,,,,,
159,IDP159,,DE,,,George Karlaftis,KCC,ROOKIE,,,,45.6,,,,,,,,
160,IDP160,,DE,,,Arnold Ebiketie,ATL,ROOKIE,,,,36.24,,,,,,,,
161,IDP161,,LB,,,Channing Tindall,MIA,ROOKIE,,,,,,,,,,,,
162,IDP162,,DE,,,Jermaine Johnson II,NYJ,ROOKIE,,,,56.23,,,,,,,,
163,IDP163,,S,,,Lewis Cine,BAL,ROOKIE,,,,34.21,,,,,,,,
164,IDP164,,LB,,,Troy Andersen,ATL,ROOKIE,,,,70.51,,,,,,,,
165,IDP165,,LB,,,Chad Muma,JAC,ROOKIE,,,,67.01,,,,,,,,
166,IDP166,,DE,,,David Ojabo,BAL,,,,,26.97,,,,,,,,
167,IDP167,,,,,,,,,,,,,,,,,,,
168,IDP168,,,,,,,,,,,,,,,,,,,
169,IDP169,,,,,,,,,,,,,,,,,,,
170,IDP170,,,,,,,,,,,,,,,,,,,
171,IDP171,,,,,,,,,,,,,,,,,,,
172,IDP172,,,,,,,,,,,,,,,,,,,
173,IDP173,,,,,,,,,,,,,,,,,,,
174,IDP174,,,,,,,,,,,,,,,,,,,
175,IDP175,,,,,,,,,,,,,,,,,,,
176,IDP176,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
